road_name,street_name,route_code,route_name,adt,aawdt,peak_hour_estimate,traffic_level,data_date,data_quality,latitude,longitude
RT602 SB RAMP TO WEST OX RD NB,RT602 SB RAMP TO WEST OX RD NB,R-VA029SC00608NB,SC-608N (Fairfax County),23000,42000.0,2300.0,High,1641013200000,G,38.9104252517483,-77.38078241431352
WEST OX RD,WEST OX,R-VA029SC08548NB,SC-8548N (Fairfax County),7200,13000.0,720.0,Moderate,1020052800000,R,38.915458564408375,-77.38948798816305
VALE RD,VALE,R-VA029SC00672EB,SC-672E (Fairfax County),5400,9100.0,540.0,Moderate,1641013200000,G,38.90164119686077,-77.29210274458325
OUTLET,OUTLET,R-VA029SC00671NB,SC-671N (Fairfax County),1400,2100.0,140.0,Low,1641013200000,G,38.90611926246869,-77.32794797678551
WESTWOOD HILLS DR,WESTWOOD HILLS,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.90484760590496,-77.36336876848365
UNION MILL RD,UNION MILL,R-VA029SC08285SB,SC-8285S (Fairfax County),31000,33000.0,3100.0,Very High,1641013200000,G,38.8385250006481,-77.4116366240183
STONE CREEK DR,STONE CREEK,R-VA029SC08025EB,SC-8025E (Fairfax County),1800,,180.0,Low,1050724800000,R,38.84980842151925,-77.45775929249272
ASHDOWN FOREST DR,ASHDOWN FOREST,R-VA029SC06520NB,SC-6520N (Fairfax County),1200,,120.0,Low,1123473600000,R,38.91884573406541,-77.39649797318154
BENNINGTON WOODS RD,BENNINGTON WOODS,R-VA029SC06390EB,SC-6390E (Fairfax County),1100,,110.0,Low,1534305600000,R,38.97345809285243,-77.35050356417584
RESTON PKWY,RESTON,R-VA029SC00602NB,SC-602N (Fairfax County),9700,18000.0,970.0,Moderate,1641013200000,G,38.990611787707586,-77.33906849073567
WEATHERSTONE CT,WEATHERSTONE,R-VA029SC00828SB,SC-828S (Fairfax County),12000,20000.0,1200.0,Moderate,1641013200000,G,38.98514735779786,-77.34085178506737
BEECH DOWN DR,BEECH DOWN,R-VA029SC07582NB,SC-7582N (Fairfax County),3300,,330.0,Low,1123473600000,R,38.90325877650056,-77.4215046966626
FALLEN OAK CT,FALLEN OAK,R-VA029SC07860NB,SC-7860N (Fairfax County),2800,,280.0,Low,997761600000,R,38.874561944677126,-77.41431761598248
CAVENDISH ST,CAVENDISH,S-VA235PR HERNDON PKWY,Herndon PKWY (PR - Town of Herndon),7600,8100.0,760.0,Moderate,1641013200000,G,38.98030044025807,-77.37007447365794
SULLY RD,SULLY,R-VA   SR00028SB,VA-28S,92000,102000.0,9200.0,Very High,1641013200000,G,38.90039246155621,-77.43746375239344
SHADY MILL LN,SHADY MILL,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.90804431329172,-77.35762555105212
BILLINGSGATE LN,BILLINGSGATE,R-VA029SC05450NB,SC-5450N (Fairfax County),2500,,250.0,Low,1000872000000,R,38.84151932593002,-77.45735722635226
POPLAR TREE RD,POPLAR TREE,R-VA029SC07860NB,SC-7860N (Fairfax County),14000,22000.0,1400.0,Moderate,997761600000,R,38.87518388278538,-77.41495123479464
MARBLE LN,MARBLE,R-VA029SC04840NB,SC-4840N (Fairfax County),6800,11000.0,680.0,Moderate,1641013200000,G,38.875102327811554,-77.39530832226305
RT267 WB RAMP TO TRAP RD NB,RT267 WB RAMP TO TRAP RD NB,R-VA   SR00267WB,VA-267W,60000,73000.0,6000.0,Very High,1641013200000,G,38.93644580866807,-77.2666364164891
WINTER OAKS WAY,WINTER OAKS,R-VA029SC08825NB,SC-8825N (Fairfax County),1300,,130.0,Low,1020139200000,R,38.920220942395986,-77.38610534759638
BURROUGH FARM DR,BURROUGH FARM,R-VA029SC00608SB,SC-608S (Fairfax County),10000,,1000.0,Moderate,1453179600000,R,38.94183459315287,-77.41107107039468
TERRYMILL DR,TERRYMILL,R-VA029SC06251NB,SC-6251N (Fairfax County),2400,,240.0,Low,1477281600000,R,38.99866021277238,-77.3843199684297
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123SB      RMP016.00B,VA-123S Ramp 16B,19000,20000.0,1900.0,High,1641013200000,G,38.873785166862284,-77.30826929640921
TATTERSALL TRL,TATTERSALL,R-VA029SC05678NB,SC-5678N (Fairfax County),1700,1800.0,170.0,Low,1641013200000,G,38.87418117996007,-77.32956223564078
RT286 NB RAMP TO RT29,RT286 NB RAMP TO RT29,R-VA   SR00286SB,VA-286S,83000,142000.0,8300.0,Very High,1641013200000,G,38.842325433512514,-77.37427850264345
BILLINGSGATE LN,BILLINGSGATE,R-VA029SC05451NB,SC-5451N (Fairfax County),2700,,270.0,Low,995515200000,R,38.84584068526532,-77.45465140694189
SUNSET HILLS RD,SUNSET HILLS,R-VA029SC00602NB,SC-602N (Fairfax County),40000,76000.0,4000.0,Very High,1641013200000,G,38.955221737397075,-77.35545313752
DALY DR,DALY,R-VA029SC07682NB,SC-7682N (Fairfax County),14000,22000.0,1400.0,Moderate,1236142800000,R,38.88525219763784,-77.44351806187012
SPRINGVALE RD,SPRINGVALE,R-VA029SC00674NB,SC-674N (Fairfax County),5100,9600.0,510.0,Moderate,1641013200000,G,38.98953483764961,-77.31431200229443
CENTER HARBOR RD,CENTER HARBOR,R-VA029SC07410EB,SC-7410E (Fairfax County),13000,25000.0,1300.0,Moderate,1641013200000,G,38.980192823514514,-77.34750820588826
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,30000,32000.0,3000.0,Very High,1641013200000,A,38.851199207765184,-77.33612362784359
FAIRFAX COUNTY PKWY SB,FAIRFAX COUNTY,R-VA   SR00286NB,VA-286N,23000,39000.0,2300.0,High,1641013200000,G,38.970650381449516,-77.36233412396378
GEORGETOWN PIKE,GEORGETOWN,R-VA   SR00193EB,VA-193E,21000,38000.0,2100.0,High,1641013200000,G,38.99972206681714,-77.32843434719025
CHANTILLY SHOPPING CTR,CHANTILLY SHOPPING,R-VA029SC07682NB,SC-7682N (Fairfax County),14000,22000.0,1400.0,Moderate,1236142800000,R,38.88565067614769,-77.4436298900993
DULLES TOWN CT,DULLES TOWN,R-VA029SC05320EB,SC-5320E (Fairfax County),7100,12000.0,710.0,Moderate,1641013200000,G,38.956358832543174,-77.42330363067867
AUTUMN GLORY WAY,AUTUMN GLORY,R-VA029SC08932NB,SC-8932N (Fairfax County),1200,,120.0,Low,1258606800000,R,38.86168597046795,-77.42133956018652
MEADOWLAND CT,MEADOWLAND,R-VA   US00050EB,US-50E,63000,67000.0,6300.0,Very High,1641013200000,F,38.8915649408879,-77.42504377065046
SUMMIT ST,SUMMIT,R-VA029SC07773EB,SC-7773E (Fairfax County),2800,4800.0,280.0,Low,1641013200000,G,38.84433019170111,-77.41913126595816
HUNTERS CREST WAY,HUNTERS CREST,R-VA029SC00673EB,SC-673E (Fairfax County),9900,17000.0,990.0,Moderate,1641013200000,G,38.92441557549513,-77.3134772357992
ISAAC NEWTON SQ S,ISAAC NEWTON,R-VA029SC00828NB,SC-828N (Fairfax County),20000,33000.0,2000.0,High,1641013200000,G,38.9515866215137,-77.33529969590585
FRYING PAN RD,FRYING PAN,R-VA029SC00608SB,SC-608S (Fairfax County),10000,,1000.0,Moderate,1453179600000,R,38.94153243604506,-77.40965022794256
OUTLET,OUTLET,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.91428423488692,-77.36334946136108
BEECH DOWN DR,BEECH DOWN,R-VA029SC07581NB,SC-7581N (Fairfax County),3300,,330.0,Low,1023163200000,R,38.902002603093365,-77.42130816235448
AWBREY PATENT DR,AWBREY PATENT,R-VA029SC07346EB,SC-7346E (Fairfax County),2300,2500.0,230.0,Low,1641013200000,G,38.84775285121927,-77.44599276307424
FIELDS BRIGADE RD,FIELDS BRIGADE,R-VA029SC07968NB,SC-7968N (Fairfax County),9400,15000.0,940.0,Moderate,1432699200000,R,38.865979707117724,-77.37843176683451
BENTREE CT,BENTREE,R-VA029SC04646EB,SC-4646E (Fairfax County),4300,4600.0,430.0,Low,1641013200000,G,38.8832698811243,-77.41696216316093
GLADE DR,GLADE,R-VA029SC04721EB,SC-4721E (Fairfax County),5300,9700.0,530.0,Moderate,1641013200000,G,38.9363508947252,-77.36785692527896
PENNYCRESS LN,PENNYCRESS,R-VA029SC00675EB,SC-675E (Fairfax County),7600,14000.0,760.0,Moderate,1641013200000,G,38.95107212647969,-77.2874307843819
NEW DOMINION PKWY,NEW DOMINION,R-VA029SC06363EB,SC-6363E (Fairfax County),21000,40000.0,2100.0,High,1641013200000,G,38.96037847657435,-77.35568010418747
BEECH DOWN DR,BEECH DOWN,R-VA029SC07581NB,SC-7581N (Fairfax County),1500,,150.0,Low,1023163200000,R,38.89394235281456,-77.41668312540445
KINROSS CT,KINROSS,R-VA029SC06651NB,SC-6651N (Fairfax County),1700,,170.0,Low,1121227200000,R,38.91644539143869,-77.4167298649183
TATTERSALL TRL,TATTERSALL,R-VA029SC05678NB,SC-5678N (Fairfax County),1700,1800.0,170.0,Low,1641013200000,G,38.87405927972568,-77.33288290859474
OAKTON MANOR CT,OAKTON MANOR,R-VA   SR00123SB,VA-123S,19000,20000.0,1900.0,High,1641013200000,G,38.8827318735342,-77.29755300505782
WAPLES CREST CT,WAPLES CREST,R-VA029SC00664EB,SC-664E (Fairfax County),3100,5200.0,310.0,Low,1641013200000,G,38.87497326406012,-77.35332744598708
ROUTE 50,ROUTE 50,R-VA029SC00665WB,SC-665W (Fairfax County),51000,55000.0,5100.0,Very High,1641013200000,G,38.857297002695105,-77.33556016491573
FAIRFAX FARMS RD,FAIRFAX FARMS,R-VA   FR00769EB,FR-769E,1300,,130.0,Low,1242187200000,R,38.86411107294291,-77.34742440863465
BECKMAN WAY,BECKMAN,R-VA029SC00717NB,SC-717N (Fairfax County),1300,2200.0,130.0,Low,1641013200000,G,39.01451776932352,-77.32303418602994
ROUTE 50,ROUTE 50,R-VA029SC07201EB,SC-7201E (Fairfax County),59000,64000.0,5900.0,Very High,1573534800000,R,38.872171241080274,-77.37418982264543
ORR DR,ORR,R-VA029SC04831EB,SC-4831E (Fairfax County),14000,22000.0,1400.0,Moderate,1641013200000,G,38.875750784994466,-77.418497422076
BRITTENFORD DR,BRITTENFORD,R-VA029SC00674NB,SC-674N (Fairfax County),13000,25000.0,1300.0,Moderate,1641013200000,G,38.942205008532454,-77.30854508724659
CROWELL RD,CROWELL,R-VA029SC00675EB,SC-675E (Fairfax County),8000,15000.0,800.0,Moderate,1641013200000,G,38.9560510316601,-77.30097525641523
LONGWOOD GROVE DR,LONGWOOD GROVE,R-VA029SC00828SB,SC-828S (Fairfax County),12000,20000.0,1200.0,Moderate,1641013200000,G,38.97644136172765,-77.33388000500491
GEORGETOWN PIKE,GEORGETOWN,R-VA   SR00193EB,VA-193E,21000,38000.0,2100.0,High,1641013200000,G,38.99983463079468,-77.33076649050896
FAIRFAX COUNTY PKWY SB,FAIRFAX COUNTY,R-VA029SC00828SB,SC-828S (Fairfax County),23000,39000.0,2300.0,High,1641013200000,G,38.9951862572369,-77.36478808008704
TRAP RD,TRAP,R-VA   SR00007EB,VA-7E,50000,53000.0,5000.0,Very High,1641013200000,G,38.94910093198236,-77.26270343174102
EDS DR,EDS,R-VA029SC08105SB,SC-8105S (Fairfax County),4100,,410.0,Low,1119931200000,R,38.92569224212252,-77.42628275975444
STONECROFT BLVD,STONECROFT,R-VA029SC08460SB,SC-8460S (Fairfax County),18000,19000.0,1800.0,High,1641013200000,G,38.882125435236794,-77.4612071481763
STONECROFT BLVD,STONECROFT,R-VA029SC08460SB,SC-8460S (Fairfax County),18000,19000.0,1800.0,High,1641013200000,G,38.882748094545825,-77.46148184787094
MEADOW FIELD DR,MEADOW FIELD,R-VA029SC07961EB,SC-7961E (Fairfax County),1300,,130.0,Low,1432699200000,R,38.87037062747431,-77.37693639992385
ROUTE 29 SERVICE RD,ROUTE 29 SERVICE,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.83880931559127,-77.42028693087933
RANDOM HILLS RD,RANDOM HILLS,R-VA029SC07230EB,SC-7230E (Fairfax County),7600,8100.0,760.0,Moderate,1641013200000,G,38.858636366814466,-77.34601682031604
WAPLES MILL RD,WAPLES MILL,R-VA029SC00665WB,SC-665W (Fairfax County),11000,16000.0,1100.0,Moderate,1641013200000,G,38.853972512724326,-77.33755527968076
RT29 SB THRU RAMP,RT29 SB THRU RAMP,R-VA   US00029SB,US-29S,30000,32000.0,3000.0,Very High,1641013200000,A,38.84553386459955,-77.37435443637685
SUNSET HILLS RD,SUNSET HILLS,R-VA029SC00675EB,SC-675E (Fairfax County),22000,36000.0,2200.0,High,1641013200000,G,38.95022680077628,-77.33657682426428
STRINGFELLOW RD,STRINGFELLOW,R-VA029SC00645EB,SC-645E (Fairfax County),23000,24000.0,2300.0,High,1641013200000,G,38.854958806407254,-77.40367999671396
I66 WB RAMP TO RT123,I66 WB RAMP TO RT123,R-VA   IS00066WB,I-66W,171000,180000.0,17100.0,Very High,1641013200000,G,38.87021553807205,-77.30494886053238
WEST OX RD,WEST OX,R-VA029SC00608NB,SC-608N (Fairfax County),39000,67000.0,3900.0,Very High,1641013200000,G,38.92093170575269,-77.39681896436363
3RD ST,3RD,R-VA   SR00228NB,VA-228N,9000,9600.0,900.0,Moderate,1641013200000,G,38.97915570274897,-77.38998608037448
THORNGATE DR,THORNGATE,R-VA029SC06849NB,SC-6849N (Fairfax County),1200,,120.0,Low,1121227200000,R,38.91005718866582,-77.41842569223408
PARK MEADOW DR,PARK MEADOW,R-VA029SC08410EB,SC-8410E (Fairfax County),18000,31000.0,1800.0,High,1236142800000,R,38.87550603796454,-77.44209408662073
FAIRFAX RIDGE RD,FAIRFAX RIDGE,R-VA029SC05975EB,SC-5975E (Fairfax County),5700,6100.0,570.0,Moderate,1433736000000,R,38.85977065312061,-77.33557244315217
STEEPLECHASE DR,STEEPLECHASE,R-VA029SC04703NB,SC-4703N (Fairfax County),1900,2000.0,190.0,Low,1641013200000,G,38.922844475814074,-77.3623464789371
COLVIN MEADOWS LN,COLVIN MEADOWS,R-VA029SC00743NB,SC-743N (Fairfax County),3200,5900.0,320.0,Low,1641013200000,G,38.97298450899568,-77.29959324905724
VIKING DR,VIKING,R-VA029SC05340NB,SC-5340N (Fairfax County),2200,,220.0,Low,1122436800000,R,38.92164495026438,-77.38375572222722
MARES NECK LN,MARES NECK,R-VA029SC00608NB,SC-608N (Fairfax County),8600,15000.0,860.0,Moderate,1641013200000,G,38.92606116139373,-77.40032207330991
MAUREEN LN,MAUREEN,R-VA029SC04851NB,SC-4851N (Fairfax County),2100,3300.0,210.0,Low,1641013200000,G,38.872596844034405,-77.39184078971822
STONE WHEEL DR,STONE WHEEL,R-VA029SC04721EB,SC-4721E (Fairfax County),5300,9700.0,530.0,Moderate,1641013200000,G,38.94067115987567,-77.3661185136817
HIGHLAND MEWS CT,HIGHLAND MEWS,R-VA029SC06609EB,SC-6609E (Fairfax County),3900,,390.0,Low,1024027200000,R,38.92014964646945,-77.41538492152291
LEESBURG PIKE SERVICE RD,LEESBURG PIKE SERVICE,R-VA   SR00007WB,VA-7W,57000,61000.0,5700.0,Very High,1641013200000,G,39.005321660016165,-77.3538716005922
HERNDON PKWY,HERNDON,S-VA235PR HERNDON PKWY,Herndon PKWY (PR - Town of Herndon),7600,8100.0,760.0,Moderate,1641013200000,G,38.971850994996345,-77.36988494314531
CEDAR LAKES DR,CEDAR LAKES,R-VA029SC08376EB,SC-8376E (Fairfax County),1800,,180.0,Low,1052798400000,R,38.86290662395947,-77.37310547266642
PARKLAND DR,PARKLAND,R-VA029SC06558EB,SC-6558E (Fairfax County),3900,,390.0,Low,1573534800000,R,38.87175151109125,-77.35945405840381
GREY FINCH DR,GREY FINCH,R-VA029SC07230EB,SC-7230E (Fairfax County),7600,8100.0,760.0,Moderate,1641013200000,G,38.85797988046613,-77.34458369679051
PARKING LOT,PARKING LOT,R-VA029SC06364EB,SC-6364E (Fairfax County),1300,,130.0,Low,1050379200000,R,38.85215737885195,-77.45238043929317
NEWTON TAVERN CT,NEWTON TAVERN,R-VA029SC07345NB,SC-7345N (Fairfax County),3800,4100.0,380.0,Low,1641013200000,G,38.84646553462108,-77.43911054287575
CEDAR LAKES DR,CEDAR LAKES,R-VA029SC07968NB,SC-7968N (Fairfax County),1600,,160.0,Low,1432699200000,R,38.864556470230845,-77.37723722335144
PENNSBORO DR,PENNSBORO,R-VA029SC04646EB,SC-4646E (Fairfax County),4300,4600.0,430.0,Low,1641013200000,G,38.881255910988926,-77.42091317469813
RIDGE HEIGHTS RD,RIDGE HEIGHTS,R-VA029SC05373EB,SC-5373E (Fairfax County),3300,,330.0,Low,1124856000000,R,38.9382108250117,-77.34369594519728
TOWN CENTER PKWY,TOWN CENTER,R-VA029SC07414NB,SC-7414N (Fairfax County),18000,18000.0,1800.0,High,1641013200000,G,38.95962033139021,-77.3631479700619
NORTH SHORE DR,NORTH SHORE,R-VA029SC04726EB,SC-4726E (Fairfax County),3900,,390.0,Low,1423458000000,R,38.96026538595692,-77.32833960156597
RT602 NB RAMP TO RT267 EB,RT602 NB RAMP TO RT267 EB,R-VA029SC00602NB,SC-602N (Fairfax County),56000,76000.0,5600.0,Very High,1641013200000,G,38.95104102421063,-77.35558970792248
SULLY LAKE DR,SULLY LAKE,R-VA029SC07346EB,SC-7346E (Fairfax County),3700,3900.0,370.0,Low,1641013200000,G,38.85579179963176,-77.45308572518641
PINEY BRANCH RD,PINEY BRANCH,R-VA029SC06187NB,SC-6187N (Fairfax County),23000,24000.0,2300.0,High,1573016400000,R,38.8512573712451,-77.37278155454347
RT267 WB RAMP TO RT123 NB,RT267 WB RAMP TO RT123 NB,R-VA   OT90004WB,OT-90004W,17000,18000.0,1700.0,High,1641013200000,G,38.92909650518824,-77.20145799840725
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674NB,SC-674N (Fairfax County),15000,28000.0,1500.0,High,1641013200000,G,38.89297698186493,-77.30416052625125
AIR VIEW LN,AIR VIEW,R-VA029SC00602NB,SC-602N (Fairfax County),5200,9700.0,520.0,Moderate,1641013200000,G,39.022452226732234,-77.34579880644218
RT28 RAMP TO I66 EXPRESS EB,RT28 RAMP TO I66 EXPRESS,R-VA   IS00066EB,I-66E,157000,166000.0,15700.0,Very High,1641013200000,G,38.84689946657021,-77.42857520314968
DRANESVILLE RD,DRANESVILLE,S-VA235PR DRANESVILLE RD,Dranesville RD (PR - Town of Herndon),6400,6800.0,640.0,Moderate,1641013200000,N,38.97946193535013,-77.3783673167058
HILL RD,HILL,R-VA   SR00123NB,VA-123N,19000,20000.0,1900.0,High,1641013200000,G,38.88411518707882,-77.29389978366099
ROUTE 50,ROUTE 50,R-VA029SC00665WB,SC-665W (Fairfax County),51000,55000.0,5100.0,Very High,1641013200000,G,38.85833591905673,-77.33759989372709
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,30000,32000.0,3000.0,Very High,1641013200000,A,38.84867852081639,-77.35627576872355
GLADE DR,GLADE,R-VA029SC00602NB,SC-602N (Fairfax County),26000,47000.0,2600.0,High,1641013200000,G,38.93486685241887,-77.36613604339341
FAIR LAKES PKWY EB RAMP TO RT286 SB,FAIR LAKES PKWY EB RAMP TO RT286,R-VA029SC07700EB,SC-7700E (Fairfax County),67000,71000.0,6700.0,Very High,1641013200000,G,38.86183186003622,-77.38359181374692
MAPLETON DR,MAPLETON,R-VA029SC04646EB,SC-4646E (Fairfax County),4300,4600.0,430.0,Low,1641013200000,G,38.88559095836692,-77.41544266882504
ROUTE 50,ROUTE 50,R-VA029SC00645WB,SC-645W (Fairfax County),63000,67000.0,6300.0,Very High,1641013200000,G,38.88436324368847,-77.40573397816956
SENECA KNOLL DR,SENECA KNOLL,R-VA029SC00602NB,SC-602N (Fairfax County),5200,9700.0,520.0,Moderate,1641013200000,G,39.02957457259165,-77.34119781160692
ANGELICA CT,ANGELICA,R-VA029SC07582NB,SC-7582N (Fairfax County),1700,,170.0,Low,1123473600000,R,38.904282541650545,-77.421302051808
LEEFIELD DR,LEEFIELD,R-VA029SC00669EB,SC-669E (Fairfax County),1300,2400.0,130.0,Low,1641013200000,G,38.90150507815269,-77.36021282152095
GOTH ST,GOTH,R-VA   IS00066WB,I-66W,171000,180000.0,17100.0,Very High,1641013200000,G,38.86770949628475,-77.31842599115566
PLEASANT VALLEY RD,PLEASANT VALLEY,R-VA029SC00609NB,SC-609N (Fairfax County),13000,20000.0,1300.0,Moderate,1641013200000,G,38.839117431383706,-77.47920317835698
AUTO PARK DR,AUTO PARK,R-VA029SC08460SB,SC-8460S (Fairfax County),11000,12000.0,1100.0,Moderate,1641013200000,G,38.90248986135154,-77.45908919458864
SAINT GERMAIN DR,SAINT GERMAIN,R-VA029SC05401NB,SC-5401N (Fairfax County),15000,16000.0,1500.0,High,1641013200000,G,38.8370359424258,-77.43996881660956
CENTREVILLE RD,CENTREVILLE,R-VA   SR00028NB,VA-28N,74000,79000.0,7400.0,Very High,1641013200000,G,38.836883479341374,-77.43186378033012
WAPLES MILL RD,WAPLES MILL,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.86740817232374,-77.33609334740545
TRINITY PKWY,TRINITY,R-VA029SC05401NB,SC-5401N (Fairfax County),15000,16000.0,1500.0,High,1641013200000,G,38.84247554840121,-77.43599409371738
BENNETT RD,BENNETT,R-VA029SC00669EB,SC-669E (Fairfax County),1300,2400.0,130.0,Low,1641013200000,G,38.89778463312476,-77.37330441696054
BENNETT RD,BENNETT,R-VA029SC00669EB,SC-669E (Fairfax County),1300,2400.0,130.0,Low,1641013200000,G,38.89822265808475,-77.37228989842065
RT267 EB,RT267,R-VA   OT90004EB,OT-90004E,88000,105000.0,8800.0,Very High,1641013200000,G,38.95909700989815,-77.41174052015273
SUNRISE GRN,SUNRISE,R-VA   SR00286SB,VA-286S,83000,142000.0,8300.0,Very High,1641013200000,G,38.83500486220364,-77.37321387549083
JERMANTOWN RD,JERMANTOWN,R-VA029SC00655EB,SC-655E (Fairfax County),19000,27000.0,1900.0,High,1641013200000,G,38.87707389103281,-77.30579736128709
BENT TREE LN,BENT TREE,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.83842458208385,-77.4197759317122
LEESBURG PIKE SERVICE RD,LEESBURG PIKE SERVICE,R-VA   SR00007EB,VA-7E,50000,53000.0,5000.0,Very High,1641013200000,G,38.940939401820955,-77.25351477446287
CHARTERHOUSE CIR,CHARTERHOUSE,R-VA029SC05328EB,SC-5328E (Fairfax County),1100,,110.0,Low,1154664000000,R,38.9328052934601,-77.35676422016066
BEACH MILL RD,BEACH MILL,R-VA029SC00717NB,SC-717N (Fairfax County),1300,2200.0,130.0,Low,1641013200000,G,39.030408624620485,-77.32184179046959
OLD CHATWOOD PL,OLD CHATWOOD,R-VA029SC07582NB,SC-7582N (Fairfax County),1700,,170.0,Low,1123473600000,R,38.90271954685854,-77.41952887917834
VALE RD,VALE,R-VA029SC00672EB,SC-672E (Fairfax County),4900,7800.0,490.0,Low,1641013200000,G,38.90385151493604,-77.32410997495604
ELMENDORF DR,ELMENDORF,R-VA029SC00655EB,SC-655E (Fairfax County),16000,27000.0,1600.0,High,1641013200000,G,38.87700952273417,-77.30790794941046
POWELLS TAVERN PL,POWELLS TAVERN,R-VA029SC06251NB,SC-6251N (Fairfax County),2400,,240.0,Low,1477281600000,R,39.00018777668492,-77.37815424404876
DOWER HOUSE DR,DOWER HOUSE,R-VA029SC06835NB,SC-6835N (Fairfax County),1600,,160.0,Low,1236744000000,R,38.909911697496526,-77.38640642561622
V LN,V,R-VA029SC00664EB,SC-664E (Fairfax County),5600,9300.0,560.0,Moderate,1641013200000,G,38.87042712796936,-77.32630582245201
SPRINGVALE RD,SPRINGVALE,R-VA029SC05970EB,SC-5970E (Fairfax County),5100,9600.0,510.0,Moderate,1532491200000,R,38.984461365558694,-77.31169161435935
FOX MILL RD,FOX MILL,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.89432966674799,-77.35065237220022
SUNSET HILLS RD,SUNSET HILLS,R-VA029SC00675EB,SC-675E (Fairfax County),22000,24000.0,2200.0,High,1641013200000,G,38.954300233265776,-77.35077863757836
BARNSTEAD DR,BARNSTEAD,R-VA029SC06395NB,SC-6395N (Fairfax County),1000,,100.0,Low,1534305600000,R,38.97477996107828,-77.35305122532944
STUART RIDGE DR,STUART RIDGE,R-VA029SC05770EB,SC-5770E (Fairfax County),4300,,430.0,Low,1123646400000,R,38.98350287797159,-77.36081506885132
TROTTING HORSE LN,TROTTING HORSE,R-VA   SR00007EB,VA-7E,50000,53000.0,5000.0,Very High,1641013200000,G,38.95982782442738,-77.27724444639772
LAKEVALE DR,LAKEVALE,R-VA029SC00672EB,SC-672E (Fairfax County),5400,9100.0,540.0,Moderate,1641013200000,G,38.89819936322736,-77.2881829705695
LAKE FAIRFAX DR,LAKE FAIRFAX,R-VA029SC01212NB,SC-1212N (Fairfax County),21000,37000.0,2100.0,High,1432094400000,R,38.974015903277554,-77.31938786644359
DOCKSIDE CIR,DOCKSIDE,R-VA029SC05373EB,SC-5373E (Fairfax County),1900,,190.0,Low,1124856000000,R,38.93627087855905,-77.33614800360772
RESTON AVE,RESTON,R-VA029SC07917NB,SC-7917N (Fairfax County),1700,2700.0,170.0,Low,1641013200000,G,38.991053522138486,-77.34525163182339
SUNRISE VALLEY DR,SUNRISE VALLEY,R-VA029SC04701NB,SC-4701N (Fairfax County),39000,44000.0,3900.0,Very High,1641013200000,G,38.94586915691085,-77.35847392018513
BARON CAMERON AVE,BARON CAMERON,R-VA029SC00606EB,SC-606E (Fairfax County),21000,37000.0,2100.0,High,1641013200000,G,38.9739620910171,-77.33118525389271
SUGARLAND RD,SUGARLAND,R-VA029SC00604EB,SC-604E (Fairfax County),1200,,120.0,Low,1432094400000,R,39.00464274852643,-77.36310331771631
KINBRACE RD,KINBRACE,R-VA029SC06651NB,SC-6651N (Fairfax County),1800,,180.0,Low,1121227200000,R,38.914981285984794,-77.4128471558181
KAMPUTA DR,KAMPUTA,R-VA029SC04765EB,SC-4765E (Fairfax County),2700,,270.0,Low,1477281600000,R,38.85346067733233,-77.45927887220175
ZOSIMO PL,ZOSIMO,R-VA029SC05050EB,SC-5050E (Fairfax County),8000,14000.0,800.0,Moderate,1641013200000,G,38.96115223188061,-77.40376769112547
SUNRISE VALLEY DR,SUNRISE VALLEY,R-VA029SC00608SB,SC-608S (Fairfax County),19000,30000.0,1900.0,High,1641013200000,G,38.94458267831068,-77.42300932049484
SUNRISE VALLEY DR,SUNRISE VALLEY,R-VA029SC05320EB,SC-5320E (Fairfax County),20000,21000.0,2000.0,High,1641013200000,F,38.94851295645134,-77.39284793384746
ROUTE 50,ROUTE 50,R-VA   US00050EB      RMP069.00A,US-50E Ramp 69A,86000,94000.0,8600.0,Very High,1641013200000,G,38.86388637982289,-77.35162060240876
SEASONS DR,SEASONS,R-VA029SC00662EB,SC-662E (Fairfax County),22000,24000.0,2200.0,High,1641013200000,G,38.83856439922265,-77.45520352515955
BARROS DR,BARROS,R-VA029SC00969EB,SC-969E (Fairfax County),1500,,150.0,Low,1471406400000,R,38.83763049324432,-77.45175406435841
GLADE DR,GLADE,R-VA029SC04721EB,SC-4721E (Fairfax County),1500,2500.0,150.0,Low,1641013200000,G,38.92700857877089,-77.3306850483767
CEDAR COVE CT,CEDAR COVE,R-VA029SC05329EB,SC-5329E (Fairfax County),7400,13000.0,740.0,Moderate,1641013200000,G,38.931727063262954,-77.33554682618812
